imdb_id,title,year,runtime_min,budget,revenue,avg_rating,num_votes,rating,dubious
tt0416320,"Match Point",2005,124,15000000,85638656,7.6,239136,3,0
tt0094226,"The Untouchables",1987,119,25000000,76270454,7.8,354473,NULL,NULL
tt0367594,"Charlie and the Chocolate Factory",2005,115,150000000,475000000,6.7,571446,3,0
tt0120737,"The Lord of the Rings: The Fellowship of the Ring",2001,178,93000000,871368364,8.9,2207437,1,NULL
tt0167261,"The Lord of the Rings: The Two Towers",2002,179,79000000,926287400,8.8,1958047,3,NULL
tt0167260,"The Lord of the Rings: The Return of the King",2003,201,94000000,1118888979,9,2165412,1,NULL
tt0077869,"The Lord of the Rings",1978,132,4000000,30477175,6.2,39385,1,0
tt0086961,"No End",1985,107,NULL,NULL,7.3,6246,NULL,NULL
tt0084549,"Blind Chance",1987,114,NULL,NULL,7.7,12264,NULL,NULL
tt0119698,"Princess Mononoke",1997,133,23500000,176506186,8.3,484155,3,NULL
tt0245429,"Spirited Away",2001,124,19000000,274925095,8.6,967560,3,0
tt0065780,"Gimme Shelter",1970,91,NULL,252570,7.8,13812,NULL,NULL
tt0054205,Primary,1960,60,NULL,NULL,7.1,1669,NULL,NULL
tt0190590,"O Brother, Where Art Thou?",2000,107,26000000,71877090,7.7,351805,0,1
tt0061589,"Bob Dylan: Dont Look Back",1967,96,NULL,NULL,7.9,11010,NULL,NULL
tt0022913,Freaks,1932,64,310607,NULL,7.8,54762,2,0
tt0107048,"Groundhog Day",1993,101,14600000,71108778,8,737336,2,NULL
tt0021814,Dracula,1931,74,355000,700000,7.3,64825,2,0
tt0164756,Mifune,1999,98,NULL,NULL,7.1,8358,NULL,NULL
tt0275491,"Bad Education",2004,106,5000000,40266982,7.4,65996,NULL,NULL
tt0246578,"Donnie Darko",2001,113,4500000,7500000,8,912340,3,1
tt0388795,"Brokeback Mountain",2005,134,14000000,178043761,7.7,417230,2,0
tt0020629,"All Quiet on the Western Front",1930,152,1448864,3270000,8.1,72199,0,0
tt0093191,"Wings of Desire",1987,128,2500000,3548590,7.9,84003,0,0
tt0115751,"Breaking the Waves",1996,153,7500000,23000000,7.8,76024,NULL,NULL
tt0190332,"Crouching Tiger, Hidden Dragon",2000,120,17000000,213978518,7.9,295020,3,0
tt0053198,"The 400 Blows",1959,99,NULL,NULL,8,134624,0,NULL
tt0430576,"The Secret Life of Words",2005,115,5000000,NULL,7.4,13683,NULL,NULL
tt0094625,Akira,1988,124,5700000,49000000,8,227132,1,0
tt0083511,"48 Hrs.",1982,96,12000000,78868508,6.9,93291,2,0
tt0079945,"Star Trek: The Motion Picture",1979,143,44000000,139346243,6.4,102523,1,0
tt0335266,"Lost in Translation",2003,102,4000000,119723856,7.7,530324,3,1
tt0084726,"Star Trek II: The Wrath of Khan",1982,113,12000000,96594943,7.7,135895,3,1
tt0468569,"The Dark Knight",2008,152,185000000,1004558444,9.1,3168956,3,1
tt0329767,"Wilbur Wants to Kill Himself",2002,109,NULL,NULL,6.8,8257,3,0
tt0088170,"Star Trek III: The Search for Spock",1984,105,18000000,87000000,6.7,90785,1,0
tt0119472,"Knockin' on Heaven's Door",1997,87,3500000,NULL,7.8,36935,1,0
tt0109255,"Maybe... Maybe Not",1994,93,NULL,NULL,6.5,6680,NULL,NULL
tt0240772,"Ocean's Eleven",2001,116,85000000,450717150,7.7,673968,1,0
tt0099487,"Edward Scissorhands",1990,105,20000000,86024005,7.8,565322,3,0
tt0349903,"Ocean's Twelve",2004,125,110000000,362744280,6.5,438766,2,0
tt0054698,"Breakfast at Tiffany's",1961,115,2500000,9500000,7.5,204556,2,0
tt0096874,"Back to the Future Part II",1989,108,40000000,332000000,7.8,621868,3,NULL
tt0082100,"The Party",1980,100,NULL,NULL,6.7,11860,3,0
tt0272152,K-PAX,2001,120,48000000,50315140,7.4,202760,1,0
tt0092007,"Star Trek IV: The Voyage Home",1986,119,21000000,133000000,7.3,96760,3,1
