imdb_id,genre
tt0110647,Adventure
tt0110647,Comedy
tt0110647,Family
tt0111055,Drama
tt0110217,Biography
tt0110217,Documentary
tt0110217,Mystery
tt0114131,Comedy
tt0114131,Romance
tt0112364,Drama
tt0113107,Drama
tt0113107,Romance
tt0113107,War
tt0113451,Crime
tt0113451,Drama
tt0113451,Thriller
tt0114015,Comedy
tt0114015,Drama
tt0114500,Documentary
tt0116130,Comedy
tt0113125,Biography
tt0113125,Documentary
tt0113756,Comedy
tt0113756,Romance
tt0113952,Drama
tt0114618,Drama
tt0118055,Drama
tt0118055,Romance
tt0115685,Comedy
tt0094878,Drama
tt0094878,War
tt0113200,Drama
tt0113200,History
tt0112585,Comedy
tt0112585,Drama
tt0112585,Romance
tt0112442,Action
tt0112442,Comedy
tt0112442,Crime
tt0112342,Adventure
tt0112342,Drama
tt0112342,Family
tt0112461,Biography
tt0112461,Crime
tt0112461,Drama
tt0112427,Comedy
tt0112427,Drama
tt0112427,Romance
tt0109093,Comedy
tt0109093,Crime
tt0109093,Drama
tt0112384,Adventure
tt0112384,Drama
tt0112384,History
tt0114287,Adventure
tt0114287,Biography
tt0114287,Drama
tt0112288,Drama
tt0112288,Horror
tt0112462,Action
tt0112462,Adventure
tt0061395,Drama
tt0061395,Romance
tt0112495,Action
tt0112495,Adventure
tt0112495,Drama
tt0112541,Comedy
tt0109370,Action
tt0109370,Comedy
tt0112642,Comedy
tt0112642,Family
tt0112642,Fantasy
tt0112688,Crime
tt0112688,Drama
tt0112688,Mystery
tt0112715,Action
tt0112715,Adventure
tt0112715,Mystery
tt0112740,Action
tt0112740,Drama
tt0112740,Thriller
tt0109508,Biography
tt0109508,Comedy
tt0109508,Documentary
tt0112851,Action
tt0112851,Crime
tt0112851,Drama
tt0112857,Crime
tt0112857,Drama
tt0112857,Mystery
tt0112864,Action
tt0112864,Adventure
tt0112864,Thriller
tt0112887,Comedy
tt0112887,Crime
tt0112887,Drama
tt0113044,Crime
tt0113044,Drama
tt0113044,Mystery
tt0113071,Action
tt0113071,Adventure
tt0113071,Drama
tt0113114,Adventure
tt0113114,Drama
tt0113114,Family
tt0113243,Crime
tt0113243,Drama
tt0113243,Romance
tt0113464,Comedy
tt0113464,Drama
tt0113481,Action
tt0113481,Drama
tt0113481,Sci-Fi
tt0113492,Action
tt0113492,Crime
tt0113492,Sci-Fi
tt0113500,Comedy
tt0113540,Drama
tt0113677,Comedy
tt0113677,Drama
tt0113690,Horror
tt0113690,Mystery
tt0113690,Thriller
tt0107447,Comedy
tt0107447,Drama
tt0113729,Comedy
tt0113729,Drama
tt0113729,Romance
tt0113749,Comedy
tt0113749,Romance
tt0113820,Action
tt0113820,Adventure
tt0113820,Family
tt0113851,Comedy
tt0113851,Drama
tt0113851,Romance
tt0110604,Crime
tt0110604,Horror
tt0110604,Thriller
tt0110620,Drama
tt0110620,Horror
tt0110620,Mystery
tt0113957,Action
tt0113957,Crime
tt0113957,Drama
tt0113986,Comedy
tt0113986,Romance
tt0114095,Comedy
tt0114095,Drama
tt0114095,Romance
tt0114194,Action
tt0114194,Crime
tt0114194,Drama
tt0114241,Comedy
tt0114241,Drama
tt0114241,Fantasy
tt0114323,Drama
tt0114345,Drama
tt0114345,Romance
tt0114435,Documentary
tt0114435,Music
tt0114436,Drama
tt0114478,Comedy
tt0114478,Drama
tt0114496,Comedy
tt0114496,Drama
tt0114496,Romance
tt0114508,Action
tt0114508,Horror
tt0114508,Sci-Fi
tt0114534,Drama
tt0114558,Crime
tt0114558,Drama
tt0114558,Sci-Fi
tt0058450,Drama
tt0058450,Musical
tt0058450,Romance
tt0114666,Crime
tt0114666,Drama
tt0114666,Thriller
tt0114663,Drama
tt0114663,Family
tt0114663,Fantasy
tt0114702,Biography
tt0114702,Drama
tt0114702,Romance
tt0114682,Comedy
tt0114682,Drama
tt0114781,Action
tt0114781,Adventure
tt0114781,Thriller
tt0114798,Comedy
tt0114798,Drama
tt0114805,Documentary
tt0114887,Drama
tt0114887,Romance
tt0114898,Action
tt0114898,Adventure
tt0114898,Sci-Fi
tt0114928,Drama
tt0114928,Thriller
tt0114938,Action
tt0114938,Biography
tt0114938,Drama
tt0109340,Drama
tt0112602,Adventure
tt0112602,Comedy
tt0112602,Crime
tt0111579,Drama
tt0111579,War
tt0110882,Drama
tt0110882,Romance
tt0110882,War
tt0112471,Comedy
tt0112471,Drama
tt0112471,Romance
tt0112508,Comedy
tt0112438,Drama
tt0112438,Thriller
tt0112571,Comedy
tt0112571,Drama
tt0112757,Adventure
tt0112757,Drama
tt0112679,Drama
tt0112679,Romance
tt0109445,Comedy
tt0112883,Comedy
tt0112883,Drama
tt0112883,Romance
tt0109635,Drama
tt0109635,Thriller
tt0109676,Action
tt0109676,Adventure
tt0109676,Thriller
tt0112854,Comedy
tt0112854,Crime
tt0112854,Fantasy
tt0109579,Drama
tt0109579,Mystery
tt0109579,Thriller
tt0109642,Crime
tt0109642,Drama
tt0109642,Mystery
tt0109686,Comedy
tt0111797,Comedy
tt0111797,Drama
tt0111797,Romance
tt0109759,Drama
tt0109758,Comedy
tt0109758,Crime
tt0109758,Romance
tt0109707,Biography
tt0109707,Comedy
tt0109707,Drama
tt0113117,Comedy
tt0113117,Drama
tt0113117,Romance
tt0113097,Comedy
tt0113097,Romance
tt0113028,Adventure
tt0113028,Family
tt0113198,Adventure
tt0113198,Animation
tt0113198,Comedy
tt0113303,Fantasy
tt0113303,Horror
tt0113303,Thriller
tt0113089,Drama
tt0113089,Family
tt0113089,Fantasy
tt0109771,Biography
tt0109771,Drama
tt0109771,History
tt0113199,Comedy
tt0113199,Drama
tt0113199,Family
tt0113234,Adventure
tt0113234,Animation
tt0113234,Comedy
tt0109906,Crime
tt0109906,Drama
tt0110057,Documentary
tt0110057,Drama
tt0110057,Sport
tt0110005,Biography
tt0110005,Crime
tt0110005,Drama
tt0110066,Comedy
tt0110116,Biography
tt0110116,Drama
tt0110116,Music
tt0110006,Comedy
tt0110006,Drama
tt0110006,Family
tt0113360,Action
tt0113360,Drama
tt0113360,Thriller
tt0110099,Comedy
tt0110099,Romance
tt0110148,Drama
tt0110148,Fantasy
tt0110148,Horror
tt0113463,Biography
tt0113463,Drama
tt0113463,History
tt0110189,Comedy
tt0110189,Crime
tt0110216,Comedy
tt0110216,Romance
tt0110216,Sci-Fi
tt0113501,Action
tt0113501,Crime
tt0113501,Drama
tt0113538,Adventure
tt0113538,Comedy
tt0113538,Family
tt0113552,Crime
tt0113552,Drama
tt0113552,Thriller
tt0076759,Action
tt0076759,Adventure
tt0076759,Fantasy
tt0110367,Drama
tt0110367,Family
tt0110367,Romance
tt0113670,Drama
tt0113670,Family
tt0113670,Fantasy
tt0110296,Drama
tt0109731,Crime
tt0109731,Drama
tt0109731,Thriller
tt0103994,Drama
tt0103994,Romance
tt0110322,Drama
tt0110322,Romance
tt0110322,War
tt0110443,Adventure
tt0110443,Comedy
tt0110443,Family
tt0110365,Crime
tt0110365,Drama
tt0107566,Crime
tt0107566,Drama
tt0110391,Comedy
tt0110391,Drama
tt0110391,Romance
tt0113691,Drama
tt0110428,Biography
tt0110428,Comedy
tt0110428,Drama
tt0109836,Drama
tt0109836,Horror
tt0109836,Romance
tt0113755,Comedy
tt0113755,Family
tt0110538,Comedy
tt0110538,Drama
tt0110516,Comedy
tt0110516,Romance
tt0110527,Drama
tt0110527,Family
tt0110527,Fantasy
tt0113808,Comedy
tt0113808,Romance
tt0113896,Drama
tt0113870,Drama
tt0113870,Thriller
tt0110684,Comedy
tt0110684,Drama
tt0110638,Drama
tt0113967,Crime
tt0113967,Drama
tt0117169,Action
tt0117169,Crime
tt0117169,Drama
tt0106402,Comedy
tt0106402,Horror
tt0106402,Mystery
tt0110671,Comedy
tt0110671,Drama
tt0110671,Romance
tt0110632,Crime
tt0110632,Romance
tt0110737,Comedy
tt0110737,Romance
tt0110729,Crime
tt0110729,Drama
tt0114069,Action
tt0114069,Drama
tt0114069,Thriller
tt0110413,Action
tt0110413,Crime
tt0110413,Drama
tt0114113,Comedy
tt0114113,Drama
tt0114113,Romance
tt0114210,Comedy
tt0114210,Romance
tt0110912,Crime
tt0110912,Drama
tt0114084,Drama
tt0105652,Comedy
tt0105652,Drama
tt0110889,Drama
tt0110889,Romance
tt0110932,Biography
tt0110932,Drama
tt0110932,History
tt0114129,Drama
tt0114129,Romance
tt0110963,Biography
tt0110963,Drama
tt0110963,History
tt0114214,Action
tt0114214,Drama
tt0114214,Romance
tt0114296,Comedy
tt0114296,Drama
tt0110907,Comedy
tt0110907,Drama
tt0111495,Drama
tt0111495,Mystery
tt0111495,Romance
tt0108394,Drama
tt0108394,Music
tt0108394,Mystery
tt0111507,Comedy
tt0111507,Drama
tt0111507,Romance
tt0110769,Drama
tt0110769,Romance
tt0110965,Drama
tt0110965,Horror
tt0110965,Thriller
tt0114571,Comedy
tt0114571,Drama
tt0111333,Adventure
tt0111333,Animation
tt0111333,Comedy
tt0111112,Drama
tt0111112,Family
tt0111112,Fantasy
tt0111255,Action
tt0111255,Drama
tt0111255,Thriller
tt0111282,Action
tt0111282,Adventure
tt0111282,Sci-Fi
tt0111070,Comedy
tt0111070,Drama
tt0111070,Family
tt0111161,Drama
tt0111149,Crime
tt0111149,Drama
tt0111149,Thriller
tt0108260,Drama
tt0108260,Thriller
tt0106966,Comedy
tt0106966,Drama
tt0106966,Romance
tt0114594,Comedy
tt0114594,Crime
tt0111309,Comedy
tt0111309,Drama
tt0113936,Adventure
tt0113936,Comedy
tt0110081,Drama
tt0110081,War
tt0114614,Action
tt0114614,Comedy
tt0114614,Sci-Fi
tt0114608,Action
tt0114608,Fantasy
tt0114608,Horror
tt0111280,Action
tt0111280,Adventure
tt0111280,Mystery
tt0114609,Crime
tt0114609,Drama
tt0114609,Horror
tt0111454,Biography
tt0111454,Drama
tt0111454,Romance
tt0114852,Horror
tt0114852,Sci-Fi
tt0114852,Thriller
tt0114694,Adventure
tt0114694,Comedy
tt0111590,Comedy
